classifier,distance_metric,n,k,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1
knn,cosine,2,3,0.5973782771535581,[0.5839599  0.63703704],[0.82624113 0.34126984],[0.68428781 0.44444444],0.6104984683932053,0.5837554880108071,0.5643661282427802
knn,cosine,2,4,0.6086142322097379,[0.59012346 0.66666667],[0.84751773 0.34126984],[0.69577875 0.45144357],0.6283950617283951,0.5943937858831476,0.5736111588671503
knn,cosine,2,5,0.602996254681648,[0.58373206 0.67241379],[0.86524823 0.30952381],[0.69714286 0.42391304],0.6280729252598581,0.587386018237082,0.5605279503105591
knn,cosine,2,6,0.6104868913857678,[0.58809524 0.69298246],[0.87588652 0.31349206],[0.7037037  0.43169399],0.6405388471177945,0.5946892941573793,0.5676988463873709
knn,cosine,2,7,0.6067415730337079,[0.58450704 0.69444444],[0.88297872 0.29761905],[0.70338983 0.41666667],0.6394757433489828,0.5902988855116514,0.5600282485875705
knn,cosine,2,8,0.6086142322097379,[0.58468677 0.70873786],[0.89361702 0.28968254],[0.70687237 0.41126761],0.6467123195098327,0.5916497804795677,0.5590699879501413
knn,cosine,2,9,0.5917602996254682,[0.57373272 0.67      ],[0.88297872 0.26587302],[0.69553073 0.38068182],0.6218663594470046,0.5744258696386356,0.5381062722194008
knn,cosine,2,10,0.5786516853932584,[0.56521739 0.63917526],[0.87588652 0.24603175],[0.68706537 0.35530086],0.6021963245181532,0.5609591354272205,0.5211831140831543
knn,cosine,3,1,0.5898876404494382,[0.58181818 0.61073826],[0.79432624 0.36111111],[0.67166417 0.45386534],0.5962782184258695,0.5777186761229315,0.562764752287198
knn,cosine,3,2,0.5898876404494382,[0.58181818 0.61073826],[0.79432624 0.36111111],[0.67166417 0.45386534],0.5962782184258695,0.5777186761229315,0.562764752287198
knn,cosine,3,3,0.5842696629213483,[0.57142857 0.63157895],[0.85106383 0.28571429],[0.68376068 0.39344262],0.6015037593984962,0.5683890577507599,0.5386016533557516
knn,cosine,3,4,0.5861423220973783,[0.57314149 0.63247863],[0.84751773 0.29365079],[0.68383405 0.40108401],0.602810059644592,0.5705842620736238,0.542459029740512
knn,cosine,3,5,0.5674157303370787,[0.5583524  0.60824742],[0.86524823 0.23412698],[0.67872045 0.33810888],0.5832999127132039,0.5496876055386694,0.5084146637920385
knn,cosine,3,6,0.5767790262172284,[0.56392694 0.63541667],[0.87588652 0.24206349],[0.68611111 0.35057471],0.599671803652968,0.5589750084430936,0.5183429118773946
knn,cosine,3,7,0.552434456928839,[0.54809843 0.57471264],[0.86879433 0.1984127 ],[0.67215364 0.29498525],0.5614055388413175,0.5336035123269166,0.48356944292703063
knn,cosine,3,8,0.5543071161048689,[0.54741379 0.6       ],[0.90070922 0.16666667],[0.68096515 0.26086957],0.5737068965517241,0.5336879432624113,0.47091735633523724
knn,cosine,3,9,0.5449438202247191,[0.54140127 0.57142857],[0.90425532 0.14285714],[0.67729084 0.22857143],0.5564149226569608,0.5235562310030395,0.45293113261240747
knn,cosine,3,10,0.550561797752809,[0.54449153 0.59677419],[0.91134752 0.1468254 ],[0.68169761 0.23566879],0.5706328594860579,0.5290864572779467,0.4586832012705063
